State,State Code,2013 Urbanization,2013 Urbanization Code,Ten-Year Age Groups,Age Group Midpoint,Drug/Alcohol Induced Causes,Drug/Alcohol Induced Causes Code,Deaths,Population,Crude Rate,% of Total Deaths
Arizona,4,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,24409,0,0.00%
Washington,53,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,25116,0,0.00%
Washington,53,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,25116,0,0.00%
Alaska,2,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,26105,0,0.00%
Alaska,2,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,26105,0,0.00%
Idaho,16,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,27411,0,0.00%
Idaho,16,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,27411,0,0.00%
Vermont,50,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,27709,0,0.00%
Vermont,50,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,27709,0,0.00%
Nebraska,31,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,27751,0,0.00%
Nebraska,31,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,27751,0,0.00%
Connecticut,9,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,29551,0,0.00%
Connecticut,9,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,29551,0,0.00%
Wyoming,56,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,30489,0,0.00%
Wyoming,56,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,30489,0,0.00%
Hawaii,15,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,33070,0,0.00%
Hawaii,15,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,33070,0,0.00%
Mississippi,28,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,33102,0,0.00%
Mississippi,28,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,33102,0,0.00%
Oklahoma,40,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,33701,0,0.00%
Oklahoma,40,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,33701,0,0.00%
Maryland,24,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,35416,0,0.00%
Maryland,24,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,35416,0,0.00%
Delaware,10,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,35698,0,0.00%
Delaware,10,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,35698,0,0.00%
North Dakota,38,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,36117,0,0.00%
North Dakota,38,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,36117,0,0.00%
Utah,49,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,37105,0,0.00%
Utah,49,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,37105,0,0.00%
Delaware,10,Medium Metro,3,< 1 year,0.5,Drug-Induced Causes,D,0,37231,0,0.00%
Delaware,10,Medium Metro,3,< 1 year,0.5,Alcohol-Induced Causes,A,0,37231,0,0.00%
North Dakota,38,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,37529,0,0.00%
North Dakota,38,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,37529,0,0.00%
Vermont,50,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,37591,0,0.00%
Vermont,50,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,37591,0,0.00%
Wyoming,56,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,38044,0,0.00%
Wyoming,56,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,38044,0,0.00%
Vermont,50,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,40188,0,0.00%
Vermont,50,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,40188,0,0.00%
Minnesota,27,Medium Metro,3,< 1 year,0.5,Drug-Induced Causes,D,0,42135,0,0.00%
Minnesota,27,Medium Metro,3,< 1 year,0.5,Alcohol-Induced Causes,A,0,42135,0,0.00%
Utah,49,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,44207,0,0.00%
Utah,49,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,44207,0,0.00%
Nevada,32,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,46044,0,0.00%
Nevada,32,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,46044,0,0.00%
South Dakota,46,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,46818,0,0.00%
South Dakota,46,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,46818,0,0.00%
California,6,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,47498,0,0.00%
California,6,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,47498,0,0.00%
Alaska,2,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,47962,0,0.00%
Alaska,2,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,47962,0,0.00%
Maine,23,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,48508,0,0.00%
Maine,23,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,48508,0,0.00%
Connecticut,9,Large Fringe Metro,2,< 1 year,0.5,Drug-Induced Causes,D,0,50341,0,0.00%
Connecticut,9,Large Fringe Metro,2,< 1 year,0.5,Alcohol-Induced Causes,A,0,50341,0,0.00%
New Jersey,34,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,51005,0,0.00%
New Jersey,34,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,51005,0,0.00%
Hawaii,15,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,51315,0,0.00%
Hawaii,15,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,51315,0,0.00%
Massachusetts,25,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,51479,0,0.00%
Massachusetts,25,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,51479,0,0.00%
Virginia,51,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,52317,0,0.00%
Virginia,51,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,52317,0,0.00%
South Dakota,46,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,52852,0,0.00%
South Dakota,46,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,52852,0,0.00%
Mississippi,28,Large Fringe Metro,2,< 1 year,0.5,Drug-Induced Causes,D,0,53441,0,0.00%
Mississippi,28,Large Fringe Metro,2,< 1 year,0.5,Alcohol-Induced Causes,A,0,53441,0,0.00%
Wyoming,56,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,53864,0,0.00%
Wyoming,56,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,53864,0,0.00%
Montana,30,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,56571,0,0.00%
Montana,30,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,56571,0,0.00%
West Virginia,54,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,59059,0,0.00%
West Virginia,54,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,59059,0,0.00%
Colorado,8,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,59974,0,0.00%
Colorado,8,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,59974,0,0.00%
Arizona,4,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,60966,0,0.00%
Arizona,4,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,60966,0,0.00%
Maryland,24,Medium Metro,3,< 1 year,0.5,Drug-Induced Causes,D,0,62139,0,0.00%
Maryland,24,Medium Metro,3,< 1 year,0.5,Alcohol-Induced Causes,A,0,62139,0,0.00%
Colorado,8,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,63949,0,0.00%
Colorado,8,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,63949,0,0.00%
West Virginia,54,Medium Metro,3,< 1 year,0.5,Drug-Induced Causes,D,0,64234,0,0.00%
West Virginia,54,Medium Metro,3,< 1 year,0.5,Alcohol-Induced Causes,A,0,64234,0,0.00%
Florida,12,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,64949,0,0.00%
Florida,12,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,64949,0,0.00%
South Carolina,45,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,68270,0,0.00%
South Carolina,45,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,68270,0,0.00%
South Carolina,45,Large Fringe Metro,2,< 1 year,0.5,Drug-Induced Causes,D,0,68351,0,0.00%
South Carolina,45,Large Fringe Metro,2,< 1 year,0.5,Alcohol-Induced Causes,A,0,68351,0,0.00%
Rhode Island,44,Large Fringe Metro,2,< 1 year,0.5,Drug-Induced Causes,D,0,68610,0,0.00%
Rhode Island,44,Large Fringe Metro,2,< 1 year,0.5,Alcohol-Induced Causes,A,0,68610,0,0.00%
Nebraska,31,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,68809,0,0.00%
Nebraska,31,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,68809,0,0.00%
Maine,23,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,69352,0,0.00%
Maine,23,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,69352,0,0.00%
Montana,30,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,70572,0,0.00%
Montana,30,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,70572,0,0.00%
Arizona,4,Large Fringe Metro,2,< 1 year,0.5,Drug-Induced Causes,D,0,70759,0,0.00%
Arizona,4,Large Fringe Metro,2,< 1 year,0.5,Alcohol-Induced Causes,A,0,70759,0,0.00%
New York,36,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,70829,0,0.00%
New York,36,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,70829,0,0.00%
Montana,30,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,71863,0,0.00%
Montana,30,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,71863,0,0.00%
Pennsylvania,42,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,73078,0,0.00%
Pennsylvania,42,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,73078,0,0.00%
New Hampshire,33,Large Fringe Metro,2,< 1 year,0.5,Drug-Induced Causes,D,0,73225,0,0.00%
New Hampshire,33,Large Fringe Metro,2,< 1 year,0.5,Alcohol-Induced Causes,A,0,73225,0,0.00%
New Hampshire,33,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,73556,0,0.00%
New Hampshire,33,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,73556,0,0.00%
North Dakota,38,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,74024,0,0.00%
North Dakota,38,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,74024,0,0.00%
Florida,12,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,75559,0,0.00%
Florida,12,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,75559,0,0.00%
Nebraska,31,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,76132,0,0.00%
Nebraska,31,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,76132,0,0.00%
Utah,49,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,76136,0,0.00%
Utah,49,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,76136,0,0.00%
West Virginia,54,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,76964,0,0.00%
West Virginia,54,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,76964,0,0.00%
Colorado,8,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,77603,0,0.00%
Colorado,8,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,77603,0,0.00%
Arkansas,5,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,80834,0,0.00%
Arkansas,5,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,80834,0,0.00%
New Hampshire,33,Medium Metro,3,< 1 year,0.5,Drug-Induced Causes,D,0,81503,0,0.00%
New Hampshire,33,Medium Metro,3,< 1 year,0.5,Alcohol-Induced Causes,A,0,81503,0,0.00%
Louisiana,22,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,83937,0,0.00%
Louisiana,22,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,83937,0,0.00%
Kansas,20,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,84178,0,0.00%
Kansas,20,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,84178,0,0.00%
Maine,23,Medium Metro,3,< 1 year,0.5,Drug-Induced Causes,D,0,90023,0,0.00%
Maine,23,Medium Metro,3,< 1 year,0.5,Alcohol-Induced Causes,A,0,90023,0,0.00%
Nevada,32,Medium Metro,3,< 1 year,0.5,Drug-Induced Causes,D,0,91363,0,0.00%
Nevada,32,Medium Metro,3,< 1 year,0.5,Alcohol-Induced Causes,A,0,91363,0,0.00%
Louisiana,22,Large Central Metro,1,< 1 year,0.5,Drug-Induced Causes,D,0,91549,0,0.00%
Louisiana,22,Large Central Metro,1,< 1 year,0.5,Alcohol-Induced Causes,A,0,91549,0,0.00%
South Dakota,46,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,92520,0,0.00%
South Dakota,46,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,92520,0,0.00%
Kentucky,21,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,93252,0,0.00%
Kentucky,21,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,93252,0,0.00%
South Carolina,45,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,94191,0,0.00%
South Carolina,45,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,94191,0,0.00%
Alaska,2,Medium Metro,3,< 1 year,0.5,Drug-Induced Causes,D,0,94595,0,0.00%
Alaska,2,Medium Metro,3,< 1 year,0.5,Alcohol-Induced Causes,A,0,94595,0,0.00%
Kansas,20,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,96339,0,0.00%
Kansas,20,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,96339,0,0.00%
Missouri,29,Medium Metro,3,< 1 year,0.5,Drug-Induced Causes,D,0,97422,0,0.00%
Missouri,29,Medium Metro,3,< 1 year,0.5,Alcohol-Induced Causes,A,0,97422,0,0.00%
Alabama,1,Large Fringe Metro,2,< 1 year,0.5,Drug-Induced Causes,D,0,97960,0,0.00%
Alabama,1,Large Fringe Metro,2,< 1 year,0.5,Alcohol-Induced Causes,A,0,97960,0,0.00%
Idaho,16,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,99782,0,0.00%
Idaho,16,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,99782,0,0.00%
Ohio,39,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,100860,0,0.00%
Ohio,39,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,100860,0,0.00%
Indiana,18,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,101191,0,0.00%
Indiana,18,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,101191,0,0.00%
California,6,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,101272,0,0.00%
California,6,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,101272,0,0.00%
Louisiana,22,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,101866,0,0.00%
Louisiana,22,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,101866,0,0.00%
Ohio,39,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,103069,0,0.00%
Ohio,39,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,103069,0,0.00%
Iowa,19,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,103186,0,0.00%
Iowa,19,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,103186,0,0.00%
Oklahoma,40,Large Fringe Metro,2,< 1 year,0.5,Drug-Induced Causes,D,0,105824,0,0.00%
Oklahoma,40,Large Fringe Metro,2,< 1 year,0.5,Alcohol-Induced Causes,A,0,105824,0,0.00%
Idaho,16,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,105921,0,0.00%
Idaho,16,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,105921,0,0.00%
Oregon,41,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,109515,0,0.00%
Oregon,41,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,109515,0,0.00%
Tennessee,47,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,109854,0,0.00%
Tennessee,47,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,109854,0,0.00%
New Mexico,35,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,112575,0,0.00%
New Mexico,35,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,112575,0,0.00%
Washington,53,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,112821,0,0.00%
Washington,53,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,112821,0,0.00%
South Carolina,45,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,113018,0,0.00%
South Carolina,45,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,113018,0,0.00%
Minnesota,27,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,114410,0,0.00%
Minnesota,27,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,114410,0,0.00%
Delaware,10,Large Fringe Metro,2,< 1 year,0.5,Drug-Induced Causes,D,0,114511,0,0.00%
Delaware,10,Large Fringe Metro,2,< 1 year,0.5,Alcohol-Induced Causes,A,0,114511,0,0.00%
Alabama,1,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,114939,0,0.00%
Alabama,1,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,114939,0,0.00%
Oklahoma,40,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,117291,0,0.00%
Oklahoma,40,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,117291,0,0.00%
Michigan,26,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,117381,0,0.00%
Michigan,26,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,117381,0,0.00%
Oregon,41,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,118557,0,0.00%
Oregon,41,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,118557,0,0.00%
Illinois,17,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,118927,0,0.00%
Illinois,17,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,118927,0,0.00%
Virginia,51,Medium Metro,3,< 1 year,0.5,Drug-Induced Causes,D,0,119449,0,0.00%
Virginia,51,Medium Metro,3,< 1 year,0.5,Alcohol-Induced Causes,A,0,119449,0,0.00%
Arkansas,5,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,122136,0,0.00%
Arkansas,5,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,122136,0,0.00%
North Carolina,37,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,124016,0,0.00%
North Carolina,37,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,124016,0,0.00%
Arkansas,5,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,124289,0,0.00%
Arkansas,5,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,124289,0,0.00%
Tennessee,47,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,125521,0,0.00%
Tennessee,47,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,125521,0,0.00%
Minnesota,27,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,129280,0,0.00%
Minnesota,27,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,129280,0,0.00%
Rhode Island,44,Large Central Metro,1,< 1 year,0.5,Drug-Induced Causes,D,0,130732,0,0.00%
Rhode Island,44,Large Central Metro,1,< 1 year,0.5,Alcohol-Induced Causes,A,0,130732,0,0.00%
District of Columbia,11,Large Central Metro,1,< 1 year,0.5,Drug-Induced Causes,D,0,131615,0,0.00%
District of Columbia,11,Large Central Metro,1,< 1 year,0.5,Alcohol-Induced Causes,A,0,131615,0,0.00%
Alabama,1,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,131968,0,0.00%
Alabama,1,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,131968,0,0.00%
Iowa,19,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,134314,0,0.00%
Iowa,19,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,134314,0,0.00%
Virginia,51,Small Metro,4,< 1 year,0.5,Drug-Induced Causes,D,0,135245,0,0.00%
Virginia,51,Small Metro,4,< 1 year,0.5,Alcohol-Induced Causes,A,0,135245,0,0.00%
Minnesota,27,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,137113,0,0.00%
Minnesota,27,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,137113,0,0.00%
Virginia,51,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,137357,0,0.00%
Virginia,51,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,137357,0,0.00%
Wisconsin,55,NonCore (non-metro),6,< 1 year,0.5,Drug-Induced Causes,D,0,139064,0,0.00%
Wisconsin,55,NonCore (non-metro),6,< 1 year,0.5,Alcohol-Induced Causes,A,0,139064,0,0.00%
Kansas,20,Micropolitan (non-metro),5,< 1 year,0.5,Drug-Induced Causes,D,0,139869,0,0.00%
Kansas,20,Micropolitan (non-metro),5,< 1 year,0.5,Alcohol-Induced Causes,A,0,139869,0,0.00%
Kentucky,21,Large Fringe Metro,2,< 1 year,0.5,Drug-Induced Causes,D,0,139874,0,0.00%
Kentucky,21,Large Fringe Metro,2,< 1 year,0.5,Alcohol-Induced Causes,A,0,139874,0,0.00%
